#name (cmd = mergePeaks -d given wtInsv__insvInsv wtElba3__elba3Elba3 wtElba2__elba2Elba2 wtElba1__elba1Elba1 Insv_ChIPnexus_narrowPeak_q10.bed Elba3_ChIPnexus_narrowPeak_q10.bed Elba2_ChIPnexus_narrowPeak_q5.bed Elba1_ChIPnexus_narrowPeak_q10.bed -venn merge2chip_q10_given_venn.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	wtInsv__insvInsv	wtElba3__elba3Elba3	wtElba2__elba2Elba2	wtElba1__elba1Elba1	Insv_ChIPnexus_narrowPeak_q10.bed	Elba3_ChIPnexus_narrowPeak_q10.bed	Elba2_ChIPnexus_narrowPeak_q5.bed	Elba1_ChIPnexus_narrowPeak_q10.bed
Merged-chr3L-10083284-5	chr3L	10083128	10083474	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	5	diff__wtInsv_q20__insvInsv_q20_peak_2469				Insv_ChIPnexus_peak_6750a,Insv_ChIPnexus_peak_6750b	Elba3_ChIPnexus_peak_6688a,Elba3_ChIPnexus_peak_6688b		
Merged-chr2L-18513595-5	chr2L	18513501	18513704	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	5	diff__wtInsv_q20__insvInsv_q20_peak_754				Insv_ChIPnexus_peak_2207a,Insv_ChIPnexus_peak_2207b	Elba3_ChIPnexus_peak_2145a,Elba3_ChIPnexus_peak_2145b		
Merged-chr3L-12633844-3	chr3L	12633679	12633947	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_2583				Insv_ChIPnexus_peak_7063	Elba3_ChIPnexus_peak_6979		
Merged-chr2R-2419720-4	chr2R	2419370	2420021	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	4	diff__wtInsv_q20__insvInsv_q20_peak_1006				Insv_ChIPnexus_peak_2917a,Insv_ChIPnexus_peak_2917b	Elba3_ChIPnexus_peak_2918		
Merged-chr2L-2798433-5	chr2L	2797924	2799011	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	5	diff__wtInsv_q20__insvInsv_q20_peak_84a,diff__wtInsv_q20__insvInsv_q20_peak_84b				Insv_ChIPnexus_peak_301,Insv_ChIPnexus_peak_302a	Elba3_ChIPnexus_peak_320		
Merged-chr2L-20235359-3	chr2L	20235132	20235608	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_857				Insv_ChIPnexus_peak_2464c	Elba3_ChIPnexus_peak_2416		
Merged-chrX-11534717-3	chrX	11534591	11534818	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_5163				Insv_ChIPnexus_peak_13717a	Elba3_ChIPnexus_peak_13528		
Merged-chrX-12152882-3	chrX	12152733	12153052	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_5185				Insv_ChIPnexus_peak_13788	Elba3_ChIPnexus_peak_13594		
Merged-chr2L-21814623-3	chr2L	21814494	21814786	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_929				Insv_ChIPnexus_peak_2663	Elba3_ChIPnexus_peak_2613		
Merged-chr2R-4307407-3	chr2R	4306977	4307708	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_1131				Insv_ChIPnexus_peak_3184a	Elba3_ChIPnexus_peak_3173		
Merged-chr2R-1026314-4	chr2R	1026023	1026577	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	4	diff__wtInsv_q20__insvInsv_q20_peak_966				Insv_ChIPnexus_peak_2790b,Insv_ChIPnexus_peak_2790c	Elba3_ChIPnexus_peak_2769		
Merged-chr3L-15526681-3	chr3L	15526470	15526914	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_2764				Insv_ChIPnexus_peak_7460	Elba3_ChIPnexus_peak_7366		
Merged-chrX-12513161-3	chrX	12513010	12513662	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_5216				Insv_ChIPnexus_peak_13819	Elba3_ChIPnexus_peak_13617		
Merged-chr2R-6455227-3	chr2R	6455013	6455574	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_1248				Insv_ChIPnexus_peak_3447	Elba3_ChIPnexus_peak_3468		
Merged-chrX-16793212-3	chrX	16792928	16793538	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_5491				Insv_ChIPnexus_peak_14331b	Elba3_ChIPnexus_peak_14095		
Merged-chr2R-9458606-3	chr2R	9458245	9458864	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_1437				Insv_ChIPnexus_peak_3924	Elba3_ChIPnexus_peak_3911		
Merged-chr2R-10191318-3	chr2R	10190995	10191545	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_1481				Insv_ChIPnexus_peak_4036	Elba3_ChIPnexus_peak_4011		
Merged-chrX-17303157-3	chrX	17303030	17303365	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_5514				Insv_ChIPnexus_peak_14389	Elba3_ChIPnexus_peak_14161		
Merged-chrX-18429622-3	chrX	18429405	18429824	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_5561				Insv_ChIPnexus_peak_14518	Elba3_ChIPnexus_peak_14264b		
Merged-chrX-20127397-3	chrX	20127173	20127565	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_5627				Insv_ChIPnexus_peak_14708	Elba3_ChIPnexus_peak_14444		
Merged-chr2L-4623188-4	chr2L	4622860	4623546	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	4	diff__wtInsv_q20__insvInsv_q20_peak_165a,diff__wtInsv_q20__insvInsv_q20_peak_165b				Insv_ChIPnexus_peak_533	Elba3_ChIPnexus_peak_524a		
Merged-chr2R-15947265-4	chr2R	15947100	15947493	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	4	diff__wtInsv_q20__insvInsv_q20_peak_1734				Insv_ChIPnexus_peak_4779a,Insv_ChIPnexus_peak_4779b	Elba3_ChIPnexus_peak_4755		
Merged-chr2RHet-673515-3	chr2RHet	672974	673857	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_1978				Insv_ChIPnexus_peak_5462a	Elba3_ChIPnexus_peak_5434		
Merged-chr2RHet-1005367-3	chr2RHet	1005028	1005619	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_1982				Insv_ChIPnexus_peak_5469a	Elba3_ChIPnexus_peak_5441		
Merged-chrX-67076-8	chrX	65900	67672	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	8	diff__wtInsv_q20__insvInsv_q20_peak_4565a,diff__wtInsv_q20__insvInsv_q20_peak_4565b,diff__wtInsv_q20__insvInsv_q20_peak_4565c				Insv_ChIPnexus_peak_12399a,Insv_ChIPnexus_peak_12399b,Insv_ChIPnexus_peak_12399c,Insv_ChIPnexus_peak_12399d	Elba3_ChIPnexus_peak_12302		
Merged-chr3R-27577622-3	chr3R	27577371	27578006	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_4491				Insv_ChIPnexus_peak_11986b	Elba3_ChIPnexus_peak_11869		
Merged-chr3RHet-1955374-3	chr3RHet	1955237	1955504	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_4504				Insv_ChIPnexus_peak_12067	Elba3_ChIPnexus_peak_11949		
Merged-chrX-1543163-3	chrX	1543055	1543278	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_4626				Insv_ChIPnexus_peak_12570	Elba3_ChIPnexus_peak_12460		
Merged-chr3L-23720963-4	chr3L	23720739	23721370	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	4	diff__wtInsv_q20__insvInsv_q20_peak_3157				Insv_ChIPnexus_peak_8532a,Insv_ChIPnexus_peak_8532b	Elba3_ChIPnexus_peak_8394		
Merged-chr3R-661207-3	chr3R	661037	661360	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_3187				Insv_ChIPnexus_peak_8704	Elba3_ChIPnexus_peak_8612		
Merged-chrX-5457618-4	chrX	5457454	5457784	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	4	diff__wtInsv_q20__insvInsv_q20_peak_4798				Insv_ChIPnexus_peak_12974a,Insv_ChIPnexus_peak_12974b	Elba3_ChIPnexus_peak_12833		
Merged-chrX-6480142-3	chrX	6479771	6480407	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_4845				Insv_ChIPnexus_peak_13096	Elba3_ChIPnexus_peak_12938		
Merged-chr3L-21646238-4	chr3L	21645920	21646721	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	4	diff__wtInsv_q20__insvInsv_q20_peak_3107a,diff__wtInsv_q20__insvInsv_q20_peak_3107b				Insv_ChIPnexus_peak_8335	Elba3_ChIPnexus_peak_8202		
Merged-chr3R-9112055-3	chr3R	9111680	9112488	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_3631				Insv_ChIPnexus_peak_9806	Elba3_ChIPnexus_peak_9725		
Merged-chr2L-7877899-3	chr2L	7877546	7878037	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_309				Insv_ChIPnexus_peak_967	Elba3_ChIPnexus_peak_950		
Merged-chr3L-2852477-4	chr3L	2852270	2852691	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	4	diff__wtInsv_q20__insvInsv_q20_peak_2144				Insv_ChIPnexus_peak_5905a,Insv_ChIPnexus_peak_5905c	Elba3_ChIPnexus_peak_5890b		
Merged-chr3L-3663182-3	chr3L	3662609	3663630	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_2195				Insv_ChIPnexus_peak_6033b	Elba3_ChIPnexus_peak_6006		
Merged-chr3L-5940382-4	chr3L	5940257	5940520	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	4	diff__wtInsv_q20__insvInsv_q20_peak_2290				Insv_ChIPnexus_peak_6272b	Elba3_ChIPnexus_peak_6233		Elba1_ChIPnexus_peak_4015a
Merged-chrX-11753214-8	chrX	11752495	11753949	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	8	diff__wtInsv_q20__insvInsv_q20_peak_5176a,diff__wtInsv_q20__insvInsv_q20_peak_5176b,diff__wtInsv_q20__insvInsv_q20_peak_5176c				Insv_ChIPnexus_peak_13752,Insv_ChIPnexus_peak_13753a,Insv_ChIPnexus_peak_13753b	Elba3_ChIPnexus_peak_13563		Elba1_ChIPnexus_peak_8806
Merged-chr2R-1147396-4	chr2R	1147221	1147494	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	4	diff__wtInsv_q20__insvInsv_q20_peak_968				Insv_ChIPnexus_peak_2794	Elba3_ChIPnexus_peak_2781		Elba1_ChIPnexus_peak_1850
Merged-chr2L-2575123-4	chr2L	2574962	2575283	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	4	diff__wtInsv_q20__insvInsv_q20_peak_77				Insv_ChIPnexus_peak_287	Elba3_ChIPnexus_peak_302b		Elba1_ChIPnexus_peak_164
Merged-chr2R-15917081-9	chr2R	15915441	15918891	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	9	diff__wtInsv_q20__insvInsv_q20_peak_1727b,diff__wtInsv_q20__insvInsv_q20_peak_1727c,diff__wtInsv_q20__insvInsv_q20_peak_1727d,diff__wtInsv_q20__insvInsv_q20_peak_1727e,diff__wtInsv_q20__insvInsv_q20_peak_1727f				Insv_ChIPnexus_peak_4771a,Insv_ChIPnexus_peak_4771b	Elba3_ChIPnexus_peak_4746		Elba1_ChIPnexus_peak_3094
Merged-chrX-2188329-4	chrX	2187952	2188866	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	4	diff__wtInsv_q20__insvInsv_q20_peak_4665				Insv_ChIPnexus_peak_12674	Elba3_ChIPnexus_peak_12555		Elba1_ChIPnexus_peak_8205
Merged-chr3L-11029865-7	chr3L	11029223	11031171	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	7	diff__wtInsv_q20__insvInsv_q20_peak_2496a,diff__wtInsv_q20__insvInsv_q20_peak_2496b,diff__wtInsv_q20__insvInsv_q20_peak_2496c,diff__wtInsv_q20__insvInsv_q20_peak_2496d				Insv_ChIPnexus_peak_6837	Elba3_ChIPnexus_peak_6767		Elba1_ChIPnexus_peak_4355
Merged-chr2L-15306820-7	chr2L	15305995	15307415	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed	7	diff__wtInsv_q20__insvInsv_q20_peak_645a,diff__wtInsv_q20__insvInsv_q20_peak_645b,diff__wtInsv_q20__insvInsv_q20_peak_645c				Insv_ChIPnexus_peak_1902c,Insv_ChIPnexus_peak_1902d	Elba3_ChIPnexus_peak_1859	Elba2_ChIPnexus_peak_414	
Merged-chr2L-21992211-7	chr2L	21991753	21992556	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed	7	diff__wtInsv_q20__insvInsv_q20_peak_936a,diff__wtInsv_q20__insvInsv_q20_peak_936b				Insv_ChIPnexus_peak_2687,Insv_ChIPnexus_peak_2688	Elba3_ChIPnexus_peak_2634,Elba3_ChIPnexus_peak_2635	Elba2_ChIPnexus_peak_595	
Merged-chr3R-3375418-6	chr3R	3374598	3376468	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed	6	diff__wtInsv_q20__insvInsv_q20_peak_3337a,diff__wtInsv_q20__insvInsv_q20_peak_3337b,diff__wtInsv_q20__insvInsv_q20_peak_3337c				Insv_ChIPnexus_peak_9100b	Elba3_ChIPnexus_peak_9000	Elba2_ChIPnexus_peak_2128	
Merged-chr2L-5270743-10	chr2L	5269768	5271433	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed	10	diff__wtInsv_q20__insvInsv_q20_peak_181b,diff__wtInsv_q20__insvInsv_q20_peak_181c				Insv_ChIPnexus_peak_601a,Insv_ChIPnexus_peak_601b,Insv_ChIPnexus_peak_601c,Insv_ChIPnexus_peak_601d,Insv_ChIPnexus_peak_601e,Insv_ChIPnexus_peak_601f	Elba3_ChIPnexus_peak_598a	Elba2_ChIPnexus_peak_122	
Merged-chr3R-13698890-5	chr3R	13698638	13699131	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	5	diff__wtInsv_q20__insvInsv_q20_peak_3906				Insv_ChIPnexus_peak_10431	Elba3_ChIPnexus_peak_10337b	Elba2_ChIPnexus_peak_2453	Elba1_ChIPnexus_peak_6689
Merged-chr2R-3143652-5	chr2R	3143465	3143850	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	5	diff__wtInsv_q20__insvInsv_q20_peak_1059				Insv_ChIPnexus_peak_3012	Elba3_ChIPnexus_peak_3011	Elba2_ChIPnexus_peak_688	Elba1_ChIPnexus_peak_1992
Merged-chr2L-21407453-7	chr2L	21407176	21407695	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	7	diff__wtInsv_q20__insvInsv_q20_peak_913				Insv_ChIPnexus_peak_2621a,Insv_ChIPnexus_peak_2621b	Elba3_ChIPnexus_peak_2560a,Elba3_ChIPnexus_peak_2560b	Elba2_ChIPnexus_peak_574	Elba1_ChIPnexus_peak_1676
Merged-chrX-18699265-5	chrX	18699035	18699415	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	5	diff__wtInsv_q20__insvInsv_q20_peak_5573				Insv_ChIPnexus_peak_14543	Elba3_ChIPnexus_peak_14288	Elba2_ChIPnexus_peak_3369	Elba1_ChIPnexus_peak_9273
Merged-chr3R-23179273-5	chr3R	23179052	23179622	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	5	diff__wtInsv_q20__insvInsv_q20_peak_4298				Insv_ChIPnexus_peak_11554b	Elba3_ChIPnexus_peak_11440	Elba2_ChIPnexus_peak_2709	Elba1_ChIPnexus_peak_7389
Merged-chr3LHet-358756-5	chr3LHet	358587	359054	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	5	diff__wtInsv_q20__insvInsv_q20_peak_3159				Insv_ChIPnexus_peak_8554a	Elba3_ChIPnexus_peak_8426	Elba2_ChIPnexus_peak_1997	Elba1_ChIPnexus_peak_5477
Merged-chr2R-19428621-6	chr2R	19428420	19428789	+	0.000000	wtElba2__elba2Elba2|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	6			diff__wtElba2_q20__elba2Elba2_q20_peak_616	diff__wtElba1_q20__elba1Elba1_q20_peak_1362	Insv_ChIPnexus_peak_5184	Elba3_ChIPnexus_peak_5168	Elba2_ChIPnexus_peak_1193	Elba1_ChIPnexus_peak_3348
Merged-chr2L-12111239-3	chr2L	12111016	12111570	+	0.000000	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1	3		diff__wtElba3_q20__elba3Elba3_q20_peak_818	diff__wtElba2_q20__elba2Elba2_q20_peak_189	diff__wtElba1_q20__elba1Elba1_q20_peak_433				
