#name (cmd = mergePeaks -d 150 Elba1_ChIPnexus_sumit_q10.bed Elba2_ChIPnexus_sumit_q5.bed Elba3_ChIPnexus_sumit_q10.bed Insv_ChIPnexus_sumit_q10.bed -venn chipseq_150_venn.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	Elba1_ChIPnexus_sumit_q10.bed	Elba2_ChIPnexus_sumit_q5.bed	Elba3_ChIPnexus_sumit_q10.bed	Insv_ChIPnexus_sumit_q10.bed
Merged-chr3R-24865103-1	chr3R	24865028	24865178	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11664b
Merged-chrX-2479342-2	chrX	2479232	2479452	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_12706a,Insv_ChIPnexus_peak_12706b
Merged-chr2R-3936025-1	chr2R	3935950	3936100	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3136b
Merged-chr3R-12724014-1	chr3R	12723939	12724089	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10303a
Merged-chr2L-2221185-1	chr2L	2221110	2221260	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_258
Merged-chr3R-12725241-1	chr3R	12725166	12725316	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10303h
Merged-chr3R-12725683-1	chr3R	12725608	12725758	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10303i
Merged-chr2L-2357364-1	chr2L	2357289	2357439	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_266
Merged-chr3L-15801980-1	chr3L	15801905	15802055	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7504
Merged-chr2R-5313957-1	chr2R	5313882	5314032	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3299b
Merged-chr2L-2380887-1	chr2L	2380812	2380962	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_272
Merged-chr2L-6356841-1	chr2L	6356766	6356916	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_750b
Merged-chr2L-6357115-1	chr2L	6357040	6357190	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_750c
Merged-chr3R-12744640-2	chr3R	12744510	12744771	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_10305f,Insv_ChIPnexus_peak_10305g
Merged-chr2L-2420577-1	chr2L	2420502	2420652	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_277
Merged-chr3L-15828531-1	chr3L	15828456	15828606	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7512
Merged-chr3L-15830580-1	chr3L	15830505	15830655	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7513
Merged-chr3L-15948165-1	chr3L	15948090	15948240	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7519
Merged-chr3R-22791607-1	chr3R	22791532	22791682	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11508a
Merged-chr3R-22792065-1	chr3R	22791990	22792140	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11508e
Merged-chr3R-13996558-1	chr3R	13996483	13996633	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10467e
Merged-chr2L-2767858-1	chr2L	2767783	2767933	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_299
Merged-chr3L-16035962-1	chr3L	16035887	16036037	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7539
Merged-chr3R-12760171-1	chr3R	12760096	12760246	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10308b
Merged-chr3L-16121629-1	chr3L	16121554	16121704	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7557
Merged-chr3L-16204329-1	chr3L	16204254	16204404	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7565
Merged-chr3L-16253184-1	chr3L	16253109	16253259	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7571
Merged-chr3L-16923785-2	chr3L	16923676	16923895	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_7690a,Insv_ChIPnexus_peak_7690b
Merged-chr3L-16275479-1	chr3L	16275404	16275554	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7575
Merged-chr3L-16286309-1	chr3L	16286234	16286384	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7577
Merged-chr3R-1753739-1	chr3R	1753664	1753814	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_8892b
Merged-chr3L-16004939-2	chr3L	16004825	16005053	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_7530a,Insv_ChIPnexus_peak_7530b
Merged-chr3L-16328153-1	chr3L	16328078	16328228	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7586
Merged-chr3L-16341104-1	chr3L	16341029	16341179	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7587
Merged-chr3L-16345052-1	chr3L	16344977	16345127	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7588
Merged-chr3R-10133852-1	chr3R	10133777	10133927	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_9935b
Merged-chr3R-10134004-1	chr3R	10133929	10134079	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_9935c
Merged-chr3L-8002431-1	chr3L	8002356	8002506	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6490a
Merged-chr3L-16394981-1	chr3L	16394906	16395056	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7598
Merged-chr3L-8045827-1	chr3L	8045752	8045902	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6491a
Merged-chr3R-1821283-1	chr3R	1821208	1821358	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_8895b
Merged-chr2R-18882119-2	chr2R	18881977	18882261	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_5131a,Insv_ChIPnexus_peak_5131b
Merged-chrX-9394145-1	chrX	9394070	9394220	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_13500b
Merged-chr2R-18889571-2	chr2R	18889462	18889680	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_5132a,Insv_ChIPnexus_peak_5132b
Merged-chrX-11219352-1	chrX	11219277	11219427	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_13661a
Merged-chr2L-11970857-1	chr2L	11970782	11970932	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1540a
Merged-chr2L-11971114-2	chr2L	11970971	11971257	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_1540c,Insv_ChIPnexus_peak_1540d
Merged-chr3L-8059245-2	chr3L	8059126	8059365	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_6496a,Insv_ChIPnexus_peak_6496b
Merged-chr3L-8059974-1	chr3L	8059899	8060049	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6496f
Merged-chr3L-8060714-1	chr3L	8060639	8060789	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6496j
Merged-chr3R-20381017-1	chr3R	20380942	20381092	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11260b
Merged-chr2R-9654673-1	chr2R	9654598	9654748	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3946b
Merged-chr3L-6543337-2	chr3L	6543235	6543440	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_6339a,Insv_ChIPnexus_peak_6339b
Merged-chrX-513334-1	chrX	513259	513409	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_12465a
Merged-chrX-514091-4	chrX	513895	514303	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	4				Insv_ChIPnexus_peak_12465d,Insv_ChIPnexus_peak_12465e,Insv_ChIPnexus_peak_12465f,Insv_ChIPnexus_peak_12465g
Merged-chrX-9494411-2	chrX	9494295	9494527	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_13507a,Insv_ChIPnexus_peak_13507b
Merged-chr3R-11117604-1	chr3R	11117529	11117679	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10063c
Merged-chr3R-20397782-1	chr3R	20397707	20397857	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11265b
Merged-chr3R-20405873-1	chr3R	20405798	20405948	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11266b
Merged-chr2L-12004066-1	chr2L	12003991	12004141	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1548a
Merged-chrU-2602273-2	chrU	2602157	2602390	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_12308c,Insv_ChIPnexus_peak_12308d
Merged-chr2R-6774229-1	chr2R	6774154	6774304	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3501
Merged-chr2R-6995061-1	chr2R	6994986	6995136	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3513
Merged-chr2R-7126838-1	chr2R	7126763	7126913	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3534
Merged-chr2R-7151571-1	chr2R	7151496	7151646	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3536
Merged-chr2R-7153579-1	chr2R	7153504	7153654	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3537
Merged-chr2R-7284903-1	chr2R	7284828	7284978	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3559
Merged-chr2R-7295829-1	chr2R	7295754	7295904	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3562
Merged-chr2R-7298433-1	chr2R	7298358	7298508	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3564
Merged-chr2R-7363071-1	chr2R	7362996	7363146	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3574
Merged-chr2R-7413036-1	chr2R	7412961	7413111	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3579
Merged-chr3L-22993902-2	chr3L	22993792	22994012	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_8493a,Insv_ChIPnexus_peak_8493b
Merged-chr3L-13068744-2	chr3L	13068641	13068847	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_7131a,Insv_ChIPnexus_peak_7131b
Merged-chr2R-7469661-1	chr2R	7469586	7469736	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3591
Merged-chr2R-7482419-1	chr2R	7482344	7482494	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3594
Merged-chr3L-4134008-2	chr3L	4133911	4134105	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_6091a,Insv_ChIPnexus_peak_6091b
Merged-chr3R-6651482-1	chr3R	6651407	6651557	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_9537b
Merged-chr2R-15579548-2	chr2R	15579403	15579693	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_4743a,Insv_ChIPnexus_peak_4743b
Merged-chr3L-21673154-1	chr3L	21673079	21673229	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_8337b
Merged-chr3R-26714884-2	chr3R	26714745	26715024	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_11910a,Insv_ChIPnexus_peak_11910b
Merged-chr2R-15587264-2	chr2R	15587145	15587383	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_4744a,Insv_ChIPnexus_peak_4744b
Merged-chr3R-26724492-1	chr3R	26724417	26724567	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11911a
Merged-chr3R-21319172-1	chr3R	21319097	21319247	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11403
Merged-chr3R-21319765-1	chr3R	21319690	21319840	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11405
Merged-chr3L-14482146-1	chr3L	14482071	14482221	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7297d
Merged-chr3R-21354761-1	chr3R	21354686	21354836	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11408
Merged-chr3L-21699448-1	chr3L	21699373	21699523	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_8339a
Merged-chr3L-21699937-2	chr3L	21699814	21700060	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_8339c,Insv_ChIPnexus_peak_8339d
Merged-chr3L-14482612-2	chr3L	14482500	14482724	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_7298a,Insv_ChIPnexus_peak_7298b
Merged-chr3R-21452938-1	chr3R	21452863	21453013	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11416
Merged-chr3R-21454557-1	chr3R	21454482	21454632	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11417
Merged-chr3L-4161154-1	chr3L	4161079	4161229	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6097c
Merged-chr3L-3127784-2	chr3L	3127649	3127919	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_5949c,Insv_ChIPnexus_peak_5949d
Merged-chr2L-8889027-1	chr2L	8888952	8889102	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1142c
Merged-chr2L-19378780-1	chr2L	19378705	19378855	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_2344c
Merged-chr2R-15614877-1	chr2R	15614802	15614952	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_4748b
Merged-chrX-7642520-2	chrX	7642377	7642663	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_13265c,Insv_ChIPnexus_peak_13265d
Merged-chr2L-8936692-2	chr2L	8936552	8936833	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_1143a,Insv_ChIPnexus_peak_1143b
Merged-chr3L-4167276-1	chr3L	4167201	4167351	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6099a
Merged-chr3R-16117902-1	chr3R	16117827	16117977	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10714b
Merged-chrX-7737149-1	chrX	7737074	7737224	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_13266a
Merged-chr2L-8938129-1	chr2L	8938054	8938204	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1144d
Merged-chr3R-21867391-1	chr3R	21867316	21867466	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11459
Merged-chr3R-21883990-1	chr3R	21883915	21884065	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11463
Merged-chr3R-21904673-1	chr3R	21904598	21904748	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11465
Merged-chr3R-22239591-1	chr3R	22239516	22239666	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11469
Merged-chr3R-22392652-1	chr3R	22392577	22392727	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11476
Merged-chr3R-16134632-1	chr3R	16134557	16134707	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10717a
Merged-chrX-15654727-1	chrX	15654652	15654802	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_14145b
Merged-chr3R-22624799-1	chr3R	22624724	22624874	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11485
Merged-chr3R-16135000-1	chr3R	16134925	16135075	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10718a
Merged-chr3RHet-1955794-1	chr3RHet	1955719	1955869	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_12068b
Merged-chr3R-22720684-1	chr3R	22720609	22720759	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11497
Merged-chr3R-17313692-1	chr3R	17313617	17313767	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10879b
Merged-chrX-15657107-1	chrX	15657032	15657182	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_14147c
Merged-chr2L-8952462-1	chr2L	8952387	8952537	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1149d
Merged-chr2L-8952635-1	chr2L	8952560	8952710	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1149e
Merged-chr2L-8952968-1	chr2L	8952893	8953043	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1149f
Merged-chr3L-19074686-2	chr3L	19074571	19074802	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_7940b,Insv_ChIPnexus_peak_7940c
Merged-chr3R-3931097-1	chr3R	3931022	3931172	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_9134b
Merged-chr3L-9961533-1	chr3L	9961458	9961608	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6744a
Merged-chr3L-19131364-1	chr3L	19131289	19131439	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7947a
Merged-chr3L-19133590-2	chr3L	19133474	19133707	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_7948a,Insv_ChIPnexus_peak_7948b
Merged-chr2R-12474414-1	chr2R	12474339	12474489	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_4343a
Merged-chr2L-2798112-1	chr2L	2798037	2798187	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_301
Merged-chr2L-2800698-1	chr2L	2800623	2800773	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_304
Merged-chr2L-2808132-1	chr2L	2808057	2808207	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_306
Merged-chr2R-3953071-2	chr2R	3952952	3953190	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_3142a,Insv_ChIPnexus_peak_3142b
Merged-chr3L-20303035-3	chr3L	20302902	20303170	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	3				Insv_ChIPnexus_peak_8098b,Insv_ChIPnexus_peak_8098c,Insv_ChIPnexus_peak_8098d
Merged-chr2L-2856081-1	chr2L	2856006	2856156	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_312
Merged-chrX-4260397-2	chrX	4260282	4260512	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_12874a,Insv_ChIPnexus_peak_12874b
Merged-chr2L-167079-1	chr2L	167004	167154	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_31d
Merged-chr2L-2886207-1	chr2L	2886132	2886282	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_323
Merged-chrX-4305423-1	chrX	4305348	4305498	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_12875a
Merged-chr2L-2957239-1	chr2L	2957164	2957314	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_336
Merged-chr2R-12482359-2	chr2R	12482253	12482465	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_4347a,Insv_ChIPnexus_peak_4347b
Merged-chr2L-2999961-1	chr2L	2999886	3000036	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_348
Merged-chr2L-3029233-1	chr2L	3029158	3029308	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_353
Merged-chr2L-3095079-1	chr2L	3095004	3095154	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_363
Merged-chr2L-3108463-1	chr2L	3108388	3108538	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_364
Merged-chr2L-3144910-1	chr2L	3144835	3144985	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_366
Merged-chr3L-3417926-1	chr3L	3417851	3418001	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6000
Merged-chr3L-3457122-1	chr3L	3457047	3457197	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6005
Merged-chr3L-16463314-1	chr3L	16463239	16463389	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7613
Merged-chr3L-16476712-1	chr3L	16476637	16476787	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7615
Merged-chr3L-16477299-1	chr3L	16477224	16477374	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7616
Merged-chr3L-16487048-1	chr3L	16486973	16487123	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7619
Merged-chr3L-16489758-1	chr3L	16489683	16489833	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7621
Merged-chr3L-16556623-1	chr3L	16556548	16556698	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7622
