#name (cmd = mergePeaks -d given Elba1_ChIPnexus_sumit_q10.bed Elba2_ChIPnexus_sumit_q5.bed Elba3_ChIPnexus_sumit_q10.bed Insv_ChIPnexus_sumit_q10.bed -venn chipseq_given_venn.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	Elba1_ChIPnexus_sumit_q10.bed	Elba2_ChIPnexus_sumit_q5.bed	Elba3_ChIPnexus_sumit_q10.bed	Insv_ChIPnexus_sumit_q10.bed
Merged-chrX-13150666-1	chrX	13150666	13150666	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_13904a
Merged-chr2L-1728739-1	chr2L	1728739	1728739	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_210
Merged-chr2L-1819912-1	chr2L	1819912	1819912	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_217
Merged-chrX-14968809-1	chrX	14968809	14968809	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_14053b
Merged-chrX-13151326-1	chrX	13151326	13151326	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_13905b
Merged-chr3R-24852905-1	chr3R	24852905	24852905	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11662a
Merged-chr3R-24852958-1	chr3R	24852958	24852958	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11662b
Merged-chr2R-12459723-1	chr2R	12459723	12459723	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_4336a
Merged-chr2R-12459802-1	chr2R	12459802	12459802	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_4336b
Merged-chr3L-162062-1	chr3L	162062	162062	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5538a
Merged-chr3L-162312-1	chr3L	162312	162312	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5538b
Merged-chr2L-1980783-1	chr2L	1980783	1980783	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_230
Merged-chr3L-171726-1	chr3L	171726	171726	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5539c
Merged-chr3R-13982490-1	chr3R	13982490	13982490	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10462d
Merged-chr3R-24864865-1	chr3R	24864865	24864865	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11664a
Merged-chr3R-24865103-1	chr3R	24865103	24865103	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11664b
Merged-chr3R-24865641-1	chr3R	24865641	24865641	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11664e
Merged-chr3R-24866096-1	chr3R	24866096	24866096	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11664f
Merged-chr2L-15731731-1	chr2L	15731731	15731731	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1946a
Merged-chrX-2479307-1	chrX	2479307	2479307	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_12706a
Merged-chrX-2479377-1	chrX	2479377	2479377	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_12706b
Merged-chr2R-3936025-1	chr2R	3936025	3936025	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3136b
Merged-chr2L-15745696-1	chr2L	15745696	15745696	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1947c
Merged-chr3R-12724014-1	chr3R	12724014	12724014	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10303a
Merged-chr3R-12724197-1	chr3R	12724197	12724197	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10303b
Merged-chr2L-15746145-1	chr2L	15746145	15746145	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1947e
Merged-chr3R-12724304-1	chr3R	12724304	12724304	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10303c
Merged-chr3R-12724692-1	chr3R	12724692	12724692	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10303e
Merged-chr2L-2217275-1	chr2L	2217275	2217275	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_256
Merged-chr3R-12724954-1	chr3R	12724954	12724954	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10303f
Merged-chr2L-2220737-1	chr2L	2220737	2220737	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_257
Merged-chr2L-2221185-1	chr2L	2221185	2221185	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_258
Merged-chr3R-12725241-1	chr3R	12725241	12725241	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10303h
Merged-chr3R-12725683-1	chr3R	12725683	12725683	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10303i
Merged-chr2R-12469539-1	chr2R	12469539	12469539	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_4339a
Merged-chr2R-12469863-1	chr2R	12469863	12469863	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_4339b
Merged-chr2L-2357364-1	chr2L	2357364	2357364	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_266
Merged-chr3L-15801980-1	chr3L	15801980	15801980	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7504
Merged-chr2R-5313957-1	chr2R	5313957	5313957	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3299b
Merged-chr2L-2380887-1	chr2L	2380887	2380887	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_272
Merged-chr2L-6356841-1	chr2L	6356841	6356841	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_750b
Merged-chr2L-6357115-1	chr2L	6357115	6357115	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_750c
Merged-chr3R-12744585-1	chr3R	12744585	12744585	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10305f
Merged-chr2L-2420577-1	chr2L	2420577	2420577	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_277
Merged-chr3R-12744696-1	chr3R	12744696	12744696	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10305g
Merged-chr3L-15828531-1	chr3L	15828531	15828531	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7512
Merged-chr3L-15830580-1	chr3L	15830580	15830580	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7513
Merged-chr3L-15948165-1	chr3L	15948165	15948165	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7519
Merged-chr3R-13994369-1	chr3R	13994369	13994369	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10466a
Merged-chr3R-13994798-1	chr3R	13994798	13994798	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10466c
Merged-chr3R-22791607-1	chr3R	22791607	22791607	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11508a
Merged-chr2L-2575088-1	chr2L	2575088	2575088	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_287
Merged-chr3R-22792065-1	chr3R	22792065	22792065	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11508e
Merged-chr3R-13996074-1	chr3R	13996074	13996074	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10467c
Merged-chr3R-13996558-1	chr3R	13996558	13996558	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10467e
Merged-chr2L-2740008-1	chr2L	2740008	2740008	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_295
Merged-chr2L-2767858-1	chr2L	2767858	2767858	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_299
Merged-chr3L-16035962-1	chr3L	16035962	16035962	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7539
Merged-chr3R-12760171-1	chr3R	12760171	12760171	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10308b
Merged-chr3L-16121629-1	chr3L	16121629	16121629	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7557
Merged-chr2L-6411279-1	chr2L	6411279	6411279	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_755b
Merged-chr3L-16137156-1	chr3L	16137156	16137156	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7564
Merged-chr3L-16204329-1	chr3L	16204329	16204329	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7565
Merged-chr3L-16253184-1	chr3L	16253184	16253184	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7571
Merged-chr3L-16923751-1	chr3L	16923751	16923751	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7690a
Merged-chr3L-16275479-1	chr3L	16275479	16275479	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7575
Merged-chr3L-16923820-1	chr3L	16923820	16923820	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7690b
Merged-chr3L-16286309-1	chr3L	16286309	16286309	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7577
Merged-chr3R-1753739-1	chr3R	1753739	1753739	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_8892b
Merged-chr3L-16004900-1	chr3L	16004900	16004900	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7530a
Merged-chr3L-16004978-1	chr3L	16004978	16004978	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7530b
Merged-chr3L-16316111-1	chr3L	16316111	16316111	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7582
Merged-chr3L-16326957-1	chr3L	16326957	16326957	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7585
Merged-chr3L-16328153-1	chr3L	16328153	16328153	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7586
Merged-chr3L-16341104-1	chr3L	16341104	16341104	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7587
Merged-chr3L-16345052-1	chr3L	16345052	16345052	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7588
Merged-chr3R-10133852-1	chr3R	10133852	10133852	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_9935b
Merged-chr3R-10134004-1	chr3R	10134004	10134004	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_9935c
Merged-chr2L-6424300-1	chr2L	6424300	6424300	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_758a
Merged-chr2L-6424366-1	chr2L	6424366	6424366	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_758b
Merged-chr3L-8002431-1	chr3L	8002431	8002431	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6490a
Merged-chr3L-16374438-1	chr3L	16374438	16374438	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7591
Merged-chr3L-16374778-1	chr3L	16374778	16374778	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7592
Merged-chr3L-16394981-1	chr3L	16394981	16394981	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7598
Merged-chr3L-8045827-1	chr3L	8045827	8045827	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6491a
Merged-chr3R-1821283-1	chr3R	1821283	1821283	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_8895b
Merged-chr2R-18882052-1	chr2R	18882052	18882052	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5131a
Merged-chr2R-18882186-1	chr2R	18882186	18882186	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5131b
Merged-chrX-9394145-1	chrX	9394145	9394145	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_13500b
Merged-chr2R-18889537-1	chr2R	18889537	18889537	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5132a
Merged-chr2R-18889605-1	chr2R	18889605	18889605	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5132b
Merged-chrX-11219352-1	chrX	11219352	11219352	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_13661a
Merged-chr2L-22595119-1	chr2L	22595119	22595119	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_2741b
Merged-chr2L-11970857-1	chr2L	11970857	11970857	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1540a
Merged-chr2L-11971046-1	chr2L	11971046	11971046	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1540c
Merged-chr2L-11971182-1	chr2L	11971182	11971182	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1540d
Merged-chr3L-8059201-1	chr3L	8059201	8059201	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6496a
Merged-chr3L-8059290-1	chr3L	8059290	8059290	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6496b
Merged-chr3L-8059974-1	chr3L	8059974	8059974	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6496f
Merged-chr3L-8060714-1	chr3L	8060714	8060714	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6496j
Merged-chr2R-18932252-1	chr2R	18932252	18932252	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5134a
Merged-chr2R-18932325-1	chr2R	18932325	18932325	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5134b
Merged-chr2R-18932563-1	chr2R	18932563	18932563	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5134e
Merged-chrX-11233729-1	chrX	11233729	11233729	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_13663b
Merged-chr3R-20381017-1	chr3R	20381017	20381017	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11260b
Merged-chr2R-9654673-1	chr2R	9654673	9654673	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3946b
Merged-chr3L-6543310-1	chr3L	6543310	6543310	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6339a
Merged-chr3L-6543365-1	chr3L	6543365	6543365	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6339b
Merged-chrX-18693424-1	chrX	18693424	18693424	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_14542c
Merged-chrX-513334-1	chrX	513334	513334	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_12465a
Merged-chrX-513761-1	chrX	513761	513761	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_12465c
Merged-chrX-513970-1	chrX	513970	513970	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_12465d
Merged-chrX-514028-1	chrX	514028	514028	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_12465e
Merged-chrX-514139-1	chrX	514139	514139	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_12465f
Merged-chrX-514228-1	chrX	514228	514228	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_12465g
Merged-chrX-9494370-1	chrX	9494370	9494370	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_13507a
Merged-chrX-9494452-1	chrX	9494452	9494452	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_13507b
Merged-chr3R-11117604-1	chr3R	11117604	11117604	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10063c
Merged-chr3R-11118033-1	chr3R	11118033	11118033	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10063e
Merged-chr3R-20397782-1	chr3R	20397782	20397782	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11265b
Merged-chrX-18737532-1	chrX	18737532	18737532	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_14545b
Merged-chr2L-12003745-1	chr2L	12003745	12003745	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1547c
Merged-chrX-9500028-1	chrX	9500028	9500028	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_13509b
Merged-chr3R-20405873-1	chr3R	20405873	20405873	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11266b
Merged-chr2L-12004066-1	chr2L	12004066	12004066	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1548a
Merged-chrU-2602232-1	chrU	2602232	2602232	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_12308c
Merged-chrU-2602315-1	chrU	2602315	2602315	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_12308d
Merged-chr2R-6774229-1	chr2R	6774229	6774229	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3501
Merged-chr2R-6995061-1	chr2R	6995061	6995061	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3513
Merged-chr2R-7037624-1	chr2R	7037624	7037624	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3517
Merged-chr2R-7059846-1	chr2R	7059846	7059846	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3518
Merged-chr2R-7120499-1	chr2R	7120499	7120499	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3530
Merged-chr2R-7126838-1	chr2R	7126838	7126838	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3534
Merged-chr2R-7151571-1	chr2R	7151571	7151571	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3536
Merged-chr2R-7153579-1	chr2R	7153579	7153579	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3537
Merged-chr2R-7167216-1	chr2R	7167216	7167216	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3538
Merged-chr2R-7190954-1	chr2R	7190954	7190954	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3544
Merged-chr2R-7284903-1	chr2R	7284903	7284903	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3559
Merged-chr2L-3037499-1	chr2L	3037499	3037499	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_355a
Merged-chr2L-3037548-1	chr2L	3037548	3037548	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_355b
Merged-chr2R-7295829-1	chr2R	7295829	7295829	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3562
Merged-chr2R-7298433-1	chr2R	7298433	7298433	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3564
Merged-chr2R-7363071-1	chr2R	7363071	7363071	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3574
Merged-chr2R-7413036-1	chr2R	7413036	7413036	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3579
Merged-chr3L-22993867-1	chr3L	22993867	22993867	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_8493a
Merged-chr3L-22993937-1	chr3L	22993937	22993937	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_8493b
Merged-chr3L-13068716-1	chr3L	13068716	13068716	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7131a
Merged-chr3L-13068772-1	chr3L	13068772	13068772	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7131b
Merged-chr2R-15557380-1	chr2R	15557380	15557380	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_4740a
Merged-chr2R-15557630-1	chr2R	15557630	15557630	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_4740b
Merged-chr3L-4133389-1	chr3L	4133389	4133389	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6090b
Merged-chr2R-7469661-1	chr2R	7469661	7469661	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3591
Merged-chr2R-7482419-1	chr2R	7482419	7482419	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3594
Merged-chr3L-14453935-1	chr3L	14453935	14453935	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7292a
