#name (cmd = mergePeaks -d 50 Elba1_ChIPnexus_sumit_q10.bed Elba2_ChIPnexus_sumit_q5.bed Elba3_ChIPnexus_sumit_q10.bed Insv_ChIPnexus_sumit_q10.bed -venn chipseq_50_venn.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	Elba1_ChIPnexus_sumit_q10.bed	Elba2_ChIPnexus_sumit_q5.bed	Elba3_ChIPnexus_sumit_q10.bed	Insv_ChIPnexus_sumit_q10.bed
Merged-chr3L-16035962-1	chr3L	16035937	16035987	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7539
Merged-chr3R-12760171-1	chr3R	12760146	12760196	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10308b
Merged-chr3L-16121629-1	chr3L	16121604	16121654	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7557
Merged-chr3L-16204329-1	chr3L	16204304	16204354	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7565
Merged-chr3L-16253184-1	chr3L	16253159	16253209	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7571
Merged-chr3L-16923751-1	chr3L	16923726	16923776	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7690a
Merged-chr3L-16275479-1	chr3L	16275454	16275504	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7575
Merged-chr3L-16923820-1	chr3L	16923795	16923845	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7690b
Merged-chr3L-16286309-1	chr3L	16286284	16286334	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7577
Merged-chr3R-1753739-1	chr3R	1753714	1753764	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_8892b
Merged-chr3L-16004900-1	chr3L	16004875	16004925	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7530a
Merged-chr3L-16004978-1	chr3L	16004953	16005003	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7530b
Merged-chr3L-16328153-1	chr3L	16328128	16328178	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7586
Merged-chr3L-16341104-1	chr3L	16341079	16341129	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7587
Merged-chr3L-16345052-1	chr3L	16345027	16345077	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7588
Merged-chr3R-10133852-1	chr3R	10133827	10133877	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_9935b
Merged-chr3R-10134004-1	chr3R	10133979	10134029	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_9935c
Merged-chr3L-8002431-1	chr3L	8002406	8002456	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6490a
Merged-chr3L-16394981-1	chr3L	16394956	16395006	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7598
Merged-chr3L-8045827-1	chr3L	8045802	8045852	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6491a
Merged-chr3R-1821283-1	chr3R	1821258	1821308	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_8895b
Merged-chr2R-18882052-1	chr2R	18882027	18882077	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5131a
Merged-chr2R-18882186-1	chr2R	18882161	18882211	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5131b
Merged-chrX-9394145-1	chrX	9394120	9394170	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_13500b
Merged-chr2R-18889537-1	chr2R	18889512	18889562	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5132a
Merged-chr2R-18889605-1	chr2R	18889580	18889630	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5132b
Merged-chrX-11219352-1	chrX	11219327	11219377	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_13661a
Merged-chr2L-11970857-1	chr2L	11970832	11970882	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1540a
Merged-chr2L-11971046-1	chr2L	11971021	11971071	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1540c
Merged-chr2L-11971182-1	chr2L	11971157	11971207	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1540d
Merged-chr3L-8059201-1	chr3L	8059176	8059226	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6496a
Merged-chr3L-8059290-1	chr3L	8059265	8059315	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6496b
Merged-chr3L-8059974-1	chr3L	8059949	8059999	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6496f
Merged-chr3L-8060714-1	chr3L	8060689	8060739	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6496j
Merged-chr2R-18932563-1	chr2R	18932538	18932588	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5134e
Merged-chr3R-20381017-1	chr3R	20380992	20381042	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11260b
Merged-chr2R-9654673-1	chr2R	9654648	9654698	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3946b
Merged-chr3L-6543310-1	chr3L	6543285	6543335	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6339a
Merged-chr3L-6543365-1	chr3L	6543340	6543390	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6339b
Merged-chrX-513334-1	chrX	513309	513359	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_12465a
Merged-chrX-513970-1	chrX	513945	513995	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_12465d
Merged-chrX-514028-1	chrX	514003	514053	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_12465e
Merged-chrX-514139-1	chrX	514114	514164	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_12465f
Merged-chrX-514228-1	chrX	514203	514253	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_12465g
Merged-chrX-9494370-1	chrX	9494345	9494395	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_13507a
Merged-chrX-9494452-1	chrX	9494427	9494477	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_13507b
Merged-chr3R-11117604-1	chr3R	11117579	11117629	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10063c
Merged-chr3R-20397782-1	chr3R	20397757	20397807	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11265b
Merged-chrX-18737532-1	chrX	18737507	18737557	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_14545b
Merged-chr2L-12003745-1	chr2L	12003720	12003770	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1547c
Merged-chr3R-20405873-1	chr3R	20405848	20405898	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11266b
Merged-chr2L-12004066-1	chr2L	12004041	12004091	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1548a
Merged-chrU-2602232-1	chrU	2602207	2602257	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_12308c
Merged-chrU-2602315-1	chrU	2602290	2602340	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_12308d
Merged-chr2R-6774229-1	chr2R	6774204	6774254	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3501
Merged-chr2R-6995061-1	chr2R	6995036	6995086	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3513
Merged-chr2R-7126838-1	chr2R	7126813	7126863	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3534
Merged-chr2R-7151571-1	chr2R	7151546	7151596	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3536
Merged-chr2R-7153579-1	chr2R	7153554	7153604	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3537
Merged-chr2R-7284903-1	chr2R	7284878	7284928	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3559
Merged-chr2R-7295829-1	chr2R	7295804	7295854	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3562
Merged-chr2R-7298433-1	chr2R	7298408	7298458	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3564
Merged-chr2R-7363071-1	chr2R	7363046	7363096	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3574
Merged-chr2R-7413036-1	chr2R	7413011	7413061	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3579
Merged-chr3L-22993867-1	chr3L	22993842	22993892	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_8493a
Merged-chr3L-22993937-1	chr3L	22993912	22993962	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_8493b
Merged-chr3L-13068716-1	chr3L	13068691	13068741	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7131a
Merged-chr3L-13068772-1	chr3L	13068747	13068797	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7131b
Merged-chr2R-7469661-1	chr2R	7469636	7469686	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3591
Merged-chr2R-7482419-1	chr2R	7482394	7482444	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3594
Merged-chr3L-4134008-2	chr3L	4133961	4134055	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_6091a,Insv_ChIPnexus_peak_6091b
Merged-chr3R-6651482-1	chr3R	6651457	6651507	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_9537b
Merged-chr2R-15579478-1	chr2R	15579453	15579503	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_4743a
Merged-chr2R-15579618-1	chr2R	15579593	15579643	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_4743b
Merged-chr3L-21673154-1	chr3L	21673129	21673179	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_8337b
Merged-chr3R-26714820-1	chr3R	26714795	26714845	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11910a
Merged-chr3R-26714949-1	chr3R	26714924	26714974	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11910b
Merged-chr2R-15587220-1	chr2R	15587195	15587245	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_4744a
Merged-chr2R-15587308-1	chr2R	15587283	15587333	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_4744b
Merged-chr3R-26724492-1	chr3R	26724467	26724517	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11911a
Merged-chr3R-21319172-1	chr3R	21319147	21319197	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11403
Merged-chr3R-21319765-1	chr3R	21319740	21319790	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11405
Merged-chr3L-14482146-1	chr3L	14482121	14482171	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7297d
Merged-chr3R-21354761-1	chr3R	21354736	21354786	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11408
Merged-chr3L-21699448-1	chr3L	21699423	21699473	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_8339a
Merged-chr3L-21699889-1	chr3L	21699864	21699914	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_8339c
Merged-chr3L-21699985-1	chr3L	21699960	21700010	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_8339d
Merged-chr3L-14482575-1	chr3L	14482550	14482600	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7298a
Merged-chr3L-14482649-1	chr3L	14482624	14482674	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7298b
Merged-chr3R-21452938-1	chr3R	21452913	21452963	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11416
Merged-chr3R-21454557-1	chr3R	21454532	21454582	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11417
Merged-chr3L-4161154-1	chr3L	4161129	4161179	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6097c
Merged-chr3L-3127724-1	chr3L	3127699	3127749	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5949c
Merged-chr3L-3127844-1	chr3L	3127819	3127869	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5949d
Merged-chr2L-8889027-1	chr2L	8889002	8889052	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1142c
Merged-chr2L-19378780-1	chr2L	19378755	19378805	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_2344c
Merged-chr2R-15614877-1	chr2R	15614852	15614902	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_4748b
Merged-chr3R-26772271-1	chr3R	26772246	26772296	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11915a
Merged-chr3R-26772345-1	chr3R	26772320	26772370	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11915b
Merged-chrX-7642452-1	chrX	7642427	7642477	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_13265c
Merged-chrX-7642588-1	chrX	7642563	7642613	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_13265d
Merged-chr2L-8936627-1	chr2L	8936602	8936652	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1143a
Merged-chr2L-8936758-1	chr2L	8936733	8936783	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1143b
Merged-chr2R-7246266-1	chr2R	7246241	7246291	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3547b
Merged-chr3L-4167276-1	chr3L	4167251	4167301	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_6099a
Merged-chr3R-16117902-1	chr3R	16117877	16117927	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10714b
Merged-chrX-7737149-1	chrX	7737124	7737174	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_13266a
Merged-chr2L-8938129-1	chr2L	8938104	8938154	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1144d
Merged-chr3R-21867391-1	chr3R	21867366	21867416	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11459
Merged-chr3R-21883990-1	chr3R	21883965	21884015	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11463
Merged-chr3R-21904673-1	chr3R	21904648	21904698	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11465
Merged-chr3R-22239591-1	chr3R	22239566	22239616	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11469
Merged-chr3R-22392652-1	chr3R	22392627	22392677	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11476
Merged-chr3R-16134632-1	chr3R	16134607	16134657	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10717a
Merged-chrX-15654727-1	chrX	15654702	15654752	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_14145b
Merged-chr3R-22624799-1	chr3R	22624774	22624824	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11485
Merged-chr3R-16135000-1	chr3R	16134975	16135025	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10718a
Merged-chr3RHet-1955794-1	chr3RHet	1955769	1955819	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_12068b
Merged-chr3R-16135400-1	chr3R	16135375	16135425	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10718d
Merged-chr3R-22720684-1	chr3R	22720659	22720709	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11497
Merged-chr3R-17313692-1	chr3R	17313667	17313717	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10879b
Merged-chrX-15656779-1	chrX	15656754	15656804	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_14147a
Merged-chrX-15657107-1	chrX	15657082	15657132	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_14147c
Merged-chr2L-8952462-1	chr2L	8952437	8952487	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1149d
Merged-chr2L-8952635-1	chr2L	8952610	8952660	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1149e
Merged-chr2L-8952968-1	chr2L	8952943	8952993	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1149f
