#name (cmd = mergePeaks -d given wtInsv__insvInsv wtElba3__elba3Elba3 wtElba2__elba2Elba2 wtElba1__elba1Elba1 -venn merge_major_given_venn.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	wtInsv__insvInsv	wtElba3__elba3Elba3	wtElba2__elba2Elba2	wtElba1__elba1Elba1
Merged-chr3L-22907950-1	chr3L	22907819	22908082	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2196
Merged-chr3L-22941588-1	chr3L	22941425	22941751	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2197
Merged-chr2R-7918176-1	chr2R	7918016	7918336	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_980
Merged-chr3L-23143317-1	chr3L	23143123	23143511	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2200
Merged-chr3L-23263393-1	chr3L	23263284	23263502	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2201
Merged-chr3LHet-797415-1	chr3LHet	797281	797550	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2206
Merged-chr3LHet-1060018-1	chr3LHet	1059873	1060163	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2207
Merged-chr3LHet-1819319-1	chr3LHet	1819215	1819424	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2209
Merged-chr3LHet-2477380-1	chr3LHet	2477249	2477511	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2211
Merged-chr3R-20893-1	chr3R	20775	21011	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2213
Merged-chr3R-459138-1	chr3R	459010	459266	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2240
Merged-chr3R-789743-1	chr3R	789594	789893	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2257
Merged-chr3R-835227-1	chr3R	835078	835376	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2259
Merged-chr3R-914006-1	chr3R	913885	914128	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2260
Merged-chr3R-2360483-1	chr3R	2360363	2360603	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2315
Merged-chr3R-2640122-1	chr3R	2639990	2640254	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2318
Merged-chr3R-2729547-1	chr3R	2729414	2729680	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2324
Merged-chr3R-2770786-1	chr3R	2770598	2770975	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2325
Merged-chr3R-3090547-1	chr3R	3090426	3090668	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2344
Merged-chr3R-3945654-1	chr3R	3945541	3945768	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2363
Merged-chr3R-4511981-1	chr3R	4511786	4512176	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2395
Merged-chr3R-4635459-1	chr3R	4635239	4635680	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2401
Merged-chr3R-5534288-1	chr3R	5534172	5534405	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2444
Merged-chr3R-5810034-1	chr3R	5809915	5810154	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2455
Merged-chr3R-6180750-1	chr3R	6180624	6180876	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2467
Merged-chr3R-6206101-1	chr3R	6205938	6206265	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2469
Merged-chr3R-6500055-1	chr3R	6499950	6500160	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2472
Merged-chr3R-7415751-1	chr3R	7415644	7415858	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2497
Merged-chr3R-7969761-1	chr3R	7969639	7969883	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2522
Merged-chr3R-10613450-1	chr3R	10613337	10613563	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2598
Merged-chr3R-11179064-1	chr3R	11178914	11179214	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2618
Merged-chr3R-11339921-1	chr3R	11339797	11340046	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2621
Merged-chr2R-8846172-1	chr2R	8846023	8846322	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1027
Merged-chr3R-12076108-1	chr3R	12075865	12076352	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2649
Merged-chr2R-9261660-1	chr2R	9261540	9261780	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1046
Merged-chr2R-9445632-1	chr2R	9445517	9445748	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1058
Merged-chr3R-12396523-1	chr3R	12396331	12396716	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2665
Merged-chr3R-12566480-1	chr3R	12566339	12566622	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2670
Merged-chr3R-12638601-1	chr3R	12638493	12638710	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2672
Merged-chr2R-9923742-1	chr2R	9923557	9923928	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1077
Merged-chr3R-13562182-1	chr3R	13562076	13562288	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2706
Merged-chr3R-15186661-1	chr3R	15186503	15186819	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2752
Merged-chr2R-12684435-1	chr2R	12684326	12684545	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1168
Merged-chr3R-16154331-1	chr3R	16154218	16154444	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2778
Merged-chr3R-17183858-1	chr3R	17183756	17183960	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2824
Merged-chr3R-17202078-1	chr3R	17201930	17202226	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2827
Merged-chr2R-14361018-1	chr2R	14360912	14361124	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1228
Merged-chr2R-15154083-1	chr2R	15153935	15154232	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1251
Merged-chr3R-17851035-1	chr3R	17850889	17851182	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2861
Merged-chr3R-18978598-1	chr3R	18978447	18978750	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2883
Merged-chr2R-16879246-1	chr2R	16879084	16879409	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1298
Merged-chr2R-7079436-1	chr2R	7079153	7079720	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_932b
Merged-chr3R-19815846-1	chr3R	19815692	19816000	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2909
Merged-chr2R-17526244-1	chr2R	17526128	17526361	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1322
Merged-chr2R-17819687-1	chr2R	17819536	17819838	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1331
Merged-chr3R-21320843-1	chr3R	21320740	21320946	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2968
Merged-chr3R-21859807-1	chr3R	21859625	21859990	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2990
Merged-chr3R-21862800-1	chr3R	21862654	21862946	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2991
Merged-chr2R-20700327-1	chr2R	20700190	20700465	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1428
Merged-chr2R-20990892-1	chr2R	20990738	20991047	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1435
Merged-chr2R-21129235-1	chr2R	21129059	21129411	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1437
Merged-chr2RHet-203569-1	chr2RHet	203466	203672	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1439
Merged-chr2RHet-1618558-1	chr2RHet	1618363	1618753	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1444
Merged-chr2RHet-2894987-1	chr2RHet	2894792	2895183	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1445
Merged-chr3L-145596-1	chr3L	145429	145764	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1450
Merged-chr3L-704610-1	chr3L	704493	704728	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1471
Merged-chr3L-5265309-1	chr3L	5265202	5265416	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1617
Merged-chr3L-7317792-1	chr3L	7317691	7317893	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1662
Merged-chr3L-8945792-1	chr3L	8945598	8945986	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1708
Merged-chr3L-8983643-1	chr3L	8983505	8983781	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1714
Merged-chr3L-9014093-1	chr3L	9013938	9014248	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1716
Merged-chr3L-10248066-1	chr3L	10247920	10248212	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1754
Merged-chr3L-11135141-1	chr3L	11135015	11135268	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1780
Merged-chr3L-11411979-1	chr3L	11411862	11412097	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1789
Merged-chr3L-12098387-1	chr3L	12098253	12098522	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1805
Merged-chr3L-12120637-1	chr3L	12120526	12120749	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1810
Merged-chr3L-12523970-1	chr3L	12523836	12524104	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1824
Merged-chr3L-12676578-1	chr3L	12676468	12676688	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1832
Merged-chr3L-13158587-1	chr3L	13158462	13158713	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1852
Merged-chr3L-14131788-1	chr3L	14131668	14131908	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1883
Merged-chr3L-14198578-1	chr3L	14198422	14198734	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1885
Merged-chr3L-14939434-1	chr3L	14939288	14939580	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1913
Merged-chr3L-15255613-1	chr3L	15255412	15255815	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1942
Merged-chr3L-16741944-1	chr3L	16741838	16742050	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_1997
Merged-chr2L-3836772-1	chr2L	3836642	3836903	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_106
Merged-chr2L-4863010-1	chr2L	4862903	4863117	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_135
Merged-chr2L-4889953-1	chr2L	4889817	4890090	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_139
Merged-chr2L-5239517-1	chr2L	5239373	5239662	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_158
Merged-chr2L-5475062-1	chr2L	5474945	5475180	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_169
Merged-chr2L-5546350-1	chr2L	5546213	5546487	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_172
Merged-chr3R-22685575-1	chr3R	22685455	22685696	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3014
Merged-chr3R-23795767-1	chr3R	23795668	23795867	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3049
Merged-chr3R-25807359-1	chr3R	25807259	25807460	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3099
Merged-chr2L-7229684-1	chr2L	7229512	7229856	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_236
Merged-chr2L-8740565-1	chr2L	8740426	8740704	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_292
Merged-chr2L-8872605-1	chr2L	8872475	8872736	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_299
Merged-chr3R-26025920-1	chr3R	26025786	26026055	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3109
Merged-chr3R-26425354-1	chr3R	26425253	26425455	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3119
Merged-chr3R-27598523-1	chr3R	27598373	27598673	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3139
Merged-chr3R-27612316-1	chr3R	27612033	27612600	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3142
Merged-chr3RHet-871845-1	chr3RHet	871735	871955	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3152
Merged-chr3RHet-1702512-1	chr3RHet	1702314	1702711	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3153
Merged-chr4-168233-1	chr4	168120	168347	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3156
Merged-chr4-489723-1	chr4	489567	489879	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3162
Merged-chr4-619952-1	chr4	619829	620075	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3171
Merged-chr4-688682-1	chr4	688560	688804	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3173
Merged-chr4-1052552-1	chr4	1052414	1052691	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3190
Merged-chr4-1084124-1	chr4	1084017	1084232	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3192
Merged-chr2L-9935756-1	chr2L	9935634	9935879	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_327
Merged-chr2L-10253862-1	chr2L	10253698	10254027	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_349
Merged-chr2L-10978559-1	chr2L	10978392	10978726	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_394
Merged-chrX-527497-1	chrX	527340	527655	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3216
Merged-chrX-2033288-1	chrX	2033176	2033401	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3248
Merged-chrX-2629904-1	chrX	2629791	2630018	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3267
Merged-chrX-4037937-1	chrX	4037772	4038103	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3292
Merged-chr2L-12007633-1	chr2L	12007433	12007834	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_421
Merged-chr2L-12011679-1	chr2L	12011344	12012014	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_423
Merged-chr2L-12012328-1	chr2L	12012227	12012429	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_424
Merged-chr2L-12750751-1	chr2L	12750640	12750863	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_457
Merged-chr2L-13238024-1	chr2L	13237887	13238161	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_470
Merged-chrX-4507800-1	chrX	4507688	4507912	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3301
Merged-chrX-6754715-1	chrX	6754525	6754905	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3363
Merged-chr2L-15313513-1	chr2L	15313372	15313654	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_501
Merged-chr2L-16485887-1	chr2L	16485617	16486158	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_531
Merged-chr2L-17860679-1	chr2L	17860558	17860801	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_560
Merged-chr2L-19070924-1	chr2L	19070818	19071031	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_587
Merged-chr2L-1181557-1	chr2L	1181402	1181713	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_39
Merged-chr2L-1410312-1	chr2L	1410209	1410416	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_40
Merged-chr2L-1422905-1	chr2L	1422770	1423041	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_41
Merged-chr2L-2142487-1	chr2L	2142376	2142598	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_60
Merged-chrX-8172915-1	chrX	8172803	8173028	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3416
Merged-chrX-8409479-1	chrX	8409376	8409582	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3417
Merged-chrX-9983199-1	chrX	9983090	9983308	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3458
Merged-chr2L-19598420-1	chr2L	19598259	19598582	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_608
Merged-chr2L-21190904-1	chr2L	21190749	21191059	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_652
Merged-chr2L-21251371-1	chr2L	21251166	21251577	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_659
Merged-chr2L-21312100-1	chr2L	21311957	21312244	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_661
Merged-chr2L-21762053-1	chr2L	21761890	21762216	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_673
Merged-chr2L-21863861-1	chr2L	21863732	21863991	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_677
Merged-chr2L-21996092-1	chr2L	21995929	21996255	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_686
Merged-chr2L-22247700-1	chr2L	22247597	22247804	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_697
Merged-chrX-12346703-1	chrX	12346585	12346822	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3522
Merged-chrX-13224587-1	chrX	13224485	13224690	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3567
Merged-chrX-13558430-1	chrX	13558270	13558591	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3576
Merged-chr2L-22432770-1	chr2L	22432622	22432919	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_700
Merged-chrX-14478580-1	chrX	14478383	14478778	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3596
Merged-chr2L-22679626-1	chr2L	22679514	22679738	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_703
Merged-chr2LHet-244391-1	chr2LHet	244289	244493	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_705
Merged-chr2R-75526-1	chr2R	75393	75659	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_706
Merged-chr2R-710663-1	chr2R	710484	710842	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_710
Merged-chr2R-965652-1	chr2R	965503	965802	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_711
Merged-chr2R-1239628-1	chr2R	1239499	1239757	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_719
Merged-chr2R-2488984-1	chr2R	2488816	2489152	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_754
Merged-chr2R-2751193-1	chr2R	2751041	2751346	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_765
Merged-chr2R-2868034-1	chr2R	2867908	2868160	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_770
Merged-chr2R-3339562-1	chr2R	3339416	3339708	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_781
Merged-chr2RHet-3180644-1	chr2RHet	3180413	3180876	+	0.000000	wtElba2__elba2Elba2	1			diff__wtElba2_q20__elba2Elba2_q20_peak_659a	
Merged-chr3L-21604930-1	chr3L	21604831	21605030	+	0.000000	wtElba2__elba2Elba2	1			diff__wtElba2_q20__elba2Elba2_q20_peak_1006	
Merged-chr3L-22058895-1	chr3L	22058781	22059009	+	0.000000	wtElba2__elba2Elba2	1			diff__wtElba2_q20__elba2Elba2_q20_peak_1014	
